                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.85343,                0.58494,                 1.1871,                0.94158,                0.93473,                0.96825,                0.72159,                 0.9704,                 0.4974,                 1.3126,              0.0012112,              0.0012112,              0.0012112
                     79,                0.84271,                 0.5734,                 1.1817,                0.94932,                0.95525,                0.97866,                0.71921,                0.99352,                0.48982,                 1.3357,              0.0012059,              0.0012059,              0.0012059
                     80,                0.85109,                0.57388,                 1.1731,                0.93575,                0.94643,                0.97111,                0.71374,                0.98269,                0.48556,                 1.3161,              0.0012004,              0.0012004,              0.0012004
                     81,                0.83443,                0.56399,                 1.1739,                 0.9516,                0.93768,                0.97437,                0.73026,                0.94475,                0.49001,                 1.2828,               0.001195,               0.001195,               0.001195
                     82,                 0.8416,                0.57672,                 1.1668,                0.93901,                0.95679,                0.97787,                0.71971,                0.94747,                0.47948,                 1.2822,              0.0011894,              0.0011894,              0.0011894
                     83,                0.86097,                0.59509,                 1.1941,                0.93371,                0.95596,                0.96902,                0.72025,                0.95362,                0.50096,                 1.2848,              0.0011838,              0.0011838,              0.0011838
                     84,                0.83933,                0.57258,                 1.1719,                 0.9464,                0.95859,                 0.9803,                0.73519,                0.94536,                0.47908,                 1.2849,              0.0011782,              0.0011782,              0.0011782
                     85,                0.83816,                0.57204,                  1.182,                0.95314,                0.94938,                0.97616,                0.71927,                0.95805,                0.47394,                 1.3177,              0.0011725,              0.0011725,              0.0011725
                     86,                 0.8135,                0.56101,                  1.155,                0.95397,                0.95697,                0.97842,                0.71825,                0.95096,                0.47413,                 1.2969,              0.0011668,              0.0011668,              0.0011668
                     87,                0.82087,                0.57116,                 1.1615,                0.94208,                0.95542,                0.97445,                0.72854,                0.94131,                0.49512,                 1.2839,               0.001161,               0.001161,               0.001161
                     88,                0.80582,                0.55634,                 1.1445,                0.94372,                0.96286,                0.97642,                0.72792,                0.96756,                0.48648,                 1.3099,              0.0011552,              0.0011552,              0.0011552
                     89,                0.83191,                0.56538,                 1.1791,                0.95157,                0.96052,                0.97764,                0.73157,                0.95817,                0.46739,                 1.2837,              0.0011493,              0.0011493,              0.0011493
                     90,                0.80825,                 0.5475,                 1.1609,                0.94886,                 0.9532,                0.97777,                0.73906,                0.91715,                0.46086,                  1.274,              0.0011434,              0.0011434,              0.0011434
                     91,                 0.8063,                0.54476,                 1.1558,                0.94009,                0.95544,                0.96958,                0.73601,                0.93534,                0.46797,                 1.2662,              0.0011374,              0.0011374,              0.0011374
                     92,                0.81421,                0.55112,                 1.1595,                 0.9531,                0.95249,                0.97934,                0.74024,                0.93368,                0.47358,                 1.2753,              0.0011314,              0.0011314,              0.0011314
                     93,                0.80074,                0.54141,                 1.1399,                0.95278,                0.95288,                0.97192,                0.72606,                 0.9223,                0.47809,                 1.2676,              0.0011253,              0.0011253,              0.0011253
                     94,                0.80568,                0.55789,                 1.1472,                0.92888,                0.95928,                0.97096,                0.73337,                0.93601,                0.47858,                 1.2854,              0.0011192,              0.0011192,              0.0011192
                     95,                0.81497,                0.55705,                 1.1601,                0.93264,                0.96075,                 0.9732,                0.72432,                0.95036,                0.48074,                 1.2887,              0.0011131,              0.0011131,              0.0011131
                     96,                0.80892,                0.54985,                 1.1493,                0.93234,                0.95345,                 0.9637,                0.71914,                0.94717,                0.48873,                 1.2869,              0.0011069,              0.0011069,              0.0011069
                     97,                0.81257,                0.54459,                 1.1539,                0.93686,                0.96837,                0.97045,                0.72922,                0.92121,                 0.4634,                 1.2862,              0.0011007,              0.0011007,              0.0011007
                     98,                0.81196,                0.54208,                 1.1515,                0.94409,                0.93938,                0.97592,                0.73493,                0.90607,                0.46562,                 1.2638,              0.0010944,              0.0010944,              0.0010944
                     99,                0.80753,                0.55853,                  1.164,                0.95711,                0.94205,                0.97762,                0.73133,                0.94118,                0.46825,                 1.2854,              0.0010881,              0.0010881,              0.0010881
                    100,                 0.7972,                0.53755,                 1.1408,                0.94558,                0.95114,                0.97716,                0.72612,                0.95485,                0.46719,                 1.3026,              0.0010817,              0.0010817,              0.0010817
                    101,                0.78669,                0.53561,                 1.1424,                0.94982,                0.95966,                0.97997,                0.72822,                0.93079,                0.46319,                 1.2652,              0.0010753,              0.0010753,              0.0010753
                    102,                0.79715,                0.53223,                 1.1395,                0.93401,                0.95547,                0.97016,                0.71377,                 0.9611,                0.48816,                 1.2889,              0.0010689,              0.0010689,              0.0010689
                    103,                0.78992,                 0.5255,                 1.1367,                0.94977,                0.96182,                0.98243,                 0.7462,                0.89944,                0.45225,                 1.2714,              0.0010624,              0.0010624,              0.0010624
                    104,                0.78307,                0.53234,                 1.1371,                0.95004,                0.95039,                0.97674,                0.72505,                 0.9576,                0.47714,                 1.2999,              0.0010559,              0.0010559,              0.0010559
                    105,                0.76175,                0.52543,                 1.1278,                0.94866,                0.94029,                0.96702,                0.73282,                 0.9305,                0.47444,                 1.2818,              0.0010494,              0.0010494,              0.0010494
                    106,                0.78767,                0.52553,                 1.1422,                0.95759,                0.94541,                0.97597,                 0.7332,                0.93685,                0.47947,                 1.2777,              0.0010428,              0.0010428,              0.0010428
                    107,                 0.7713,                0.52711,                  1.115,                0.93934,                0.94602,                  0.976,                0.73193,                0.93825,                0.47134,                 1.2886,              0.0010362,              0.0010362,              0.0010362
                    108,                0.78474,                0.53918,                 1.1421,                0.93785,                0.94719,                0.96771,                0.71555,                0.94666,                0.47578,                 1.2973,              0.0010295,              0.0010295,              0.0010295
                    109,                0.75792,                0.51319,                 1.1206,                0.94717,                0.95834,                 0.9742,                0.73702,                0.92497,                0.45624,                 1.2793,              0.0010228,              0.0010228,              0.0010228
                    110,                0.78842,                 0.5351,                 1.1386,                0.95981,                0.95702,                0.97657,                0.73429,                0.91002,                0.46287,                 1.2685,              0.0010161,              0.0010161,              0.0010161
                    111,                 0.7765,                0.52083,                 1.1242,                0.95075,                0.95699,                0.97744,                0.73166,                0.93418,                0.45849,                 1.2807,              0.0010094,              0.0010094,              0.0010094
                    112,                0.75571,                0.50927,                  1.127,                0.94437,                0.95845,                0.97674,                0.73117,                0.94109,                0.47165,                 1.3025,              0.0010026,              0.0010026,              0.0010026
                    113,                0.76563,                0.51453,                 1.1141,                0.96015,                 0.9469,                0.98092,                0.75171,                0.89816,                0.44042,                 1.2706,             0.00099576,             0.00099576,             0.00099576
                    114,                0.75487,                 0.5089,                 1.1211,                0.91057,                0.94869,                0.97124,                0.73278,                 0.9216,                0.49737,                  1.281,             0.00098891,             0.00098891,             0.00098891
                    115,                0.75869,                0.50759,                 1.1215,                0.94318,                0.96049,                0.97637,                0.73877,                0.93758,                 0.4521,                  1.294,             0.00098204,             0.00098204,             0.00098204
                    116,                0.74996,                0.51873,                 1.1147,                0.95404,                0.93849,                0.97439,                0.73743,                0.91382,                0.46156,                 1.2889,             0.00097514,             0.00097514,             0.00097514
                    117,                0.74112,                0.50202,                 1.1119,                0.93805,                0.96613,                0.97821,                  0.747,                0.90201,                0.45258,                 1.2734,             0.00096821,             0.00096821,             0.00096821
                    118,                 0.7516,                0.51448,                 1.1284,                0.95768,                0.94787,                0.97379,                 0.7332,                0.92426,                0.46284,                 1.2808,             0.00096125,             0.00096125,             0.00096125
                    119,                0.74794,                0.50721,                 1.1183,                0.93666,                 0.9469,                0.96525,                0.73738,                0.92573,                0.45077,                 1.2891,             0.00095427,             0.00095427,             0.00095427
                    120,                0.73073,                0.49477,                 1.0923,                0.95548,                0.96064,                0.97955,                0.75491,                0.89269,                0.43307,                 1.2721,             0.00094726,             0.00094726,             0.00094726
                    121,                0.73213,                0.48735,                 1.1108,                 0.9542,                0.94946,                0.97525,                 0.7475,                0.90851,                0.45024,                 1.2671,             0.00094023,             0.00094023,             0.00094023
                    122,                0.73168,                0.48665,                 1.1046,                0.94801,                0.96506,                0.97502,                 0.7468,                0.89599,                0.44697,                 1.2639,             0.00093317,             0.00093317,             0.00093317
                    123,                0.74346,                 0.5006,                 1.1083,                0.96367,                0.95865,                0.97941,                0.74317,                  0.915,                0.43905,                 1.2866,             0.00092609,             0.00092609,             0.00092609
                    124,                0.75757,                0.50674,                 1.1287,                0.95665,                0.96131,                0.97781,                0.74315,                0.90381,                0.43124,                 1.2624,             0.00091899,             0.00091899,             0.00091899
                    125,                0.73248,                0.49358,                 1.1016,                 0.9619,                0.95246,                0.97904,                0.75448,                0.87949,                0.42859,                 1.2612,             0.00091187,             0.00091187,             0.00091187
                    126,                0.72995,                0.49076,                 1.1044,                0.95176,                0.95814,                0.97675,                0.75292,                0.87616,                0.43765,                 1.2594,             0.00090472,             0.00090472,             0.00090472
                    127,                0.71638,                0.47868,                 1.0952,                0.95314,                0.94487,                0.97112,                0.74414,                0.90215,                0.44733,                 1.2684,             0.00089756,             0.00089756,             0.00089756
                    128,                0.72263,                0.48885,                 1.1018,                0.95685,                0.95297,                0.97794,                0.74847,                0.89597,                0.43119,                 1.2726,             0.00089037,             0.00089037,             0.00089037
                    129,                0.72338,                0.48889,                 1.0909,                0.95861,                0.96224,                0.97613,                0.74245,                0.92767,                 0.4346,                  1.285,             0.00088317,             0.00088317,             0.00088317
                    130,                0.71172,                0.48653,                 1.0986,                0.96031,                0.95673,                0.98199,                0.74695,                0.91558,                0.44059,                 1.2865,             0.00087595,             0.00087595,             0.00087595
                    131,                 0.7088,                0.47125,                 1.0869,                0.96424,                0.95239,                0.97821,                 0.7559,                0.88113,                0.42924,                  1.264,             0.00086871,             0.00086871,             0.00086871
                    132,                0.71775,                0.48132,                 1.0971,                0.95319,                0.96676,                0.98027,                0.75189,                0.88558,                0.43219,                  1.258,             0.00086146,             0.00086146,             0.00086146
                    133,                 0.7197,                0.48448,                 1.1008,                0.94791,                 0.9599,                 0.9764,                0.74582,                0.90212,                0.44638,                 1.2834,             0.00085419,             0.00085419,             0.00085419
                    134,                0.72138,                 0.4816,                 1.1006,                0.96416,                0.96058,                0.97905,                0.74853,                0.89842,                0.43634,                 1.2684,             0.00084691,             0.00084691,             0.00084691
                    135,                0.70569,                0.48071,                  1.093,                0.95347,                0.96075,                0.97722,                0.75413,                0.89431,                0.43642,                  1.268,             0.00083961,             0.00083961,             0.00083961
                    136,                0.70192,                0.47513,                 1.0882,                0.93178,                0.96958,                0.97755,                0.75347,                0.90107,                0.43071,                 1.2846,              0.0008323,              0.0008323,              0.0008323
                    137,                0.71527,                0.48294,                 1.1061,                0.95625,                0.96977,                0.97992,                0.75145,                0.89296,                0.43731,                  1.266,             0.00082498,             0.00082498,             0.00082498
                    138,                0.70383,                0.47697,                 1.0947,                 0.9493,                0.97483,                0.98229,                0.75906,                0.86554,                 0.4156,                 1.2465,             0.00081764,             0.00081764,             0.00081764
                    139,                0.71176,                0.47931,                 1.0906,                 0.9503,                 0.9643,                0.97974,                0.74883,                0.87847,                0.44331,                  1.254,              0.0008103,              0.0008103,              0.0008103
                    140,                0.72041,                0.48241,                 1.1117,                0.95535,                0.97122,                0.98284,                0.76233,                0.87766,                0.42791,                 1.2602,             0.00080295,             0.00080295,             0.00080295
                    141,                0.69886,                0.47214,                  1.084,                0.95689,                0.96314,                0.97927,                0.75506,                0.88202,                0.43962,                 1.2678,             0.00079558,             0.00079558,             0.00079558
                    142,                0.69533,                 0.4676,                 1.0813,                0.95881,                0.96161,                0.98133,                0.75703,                0.88867,                 0.4227,                 1.2669,             0.00078821,             0.00078821,             0.00078821
                    143,                0.70849,                0.48884,                 1.0862,                0.95384,                0.96358,                0.97871,                0.75568,                 0.8753,                0.42167,                 1.2577,             0.00078083,             0.00078083,             0.00078083
                    144,                0.69823,                0.46898,                 1.0866,                0.95954,                0.97148,                0.97921,                0.76029,                0.87174,                0.41876,                 1.2662,             0.00077345,             0.00077345,             0.00077345
                    145,                0.70232,                 0.4672,                 1.0866,                0.95547,                0.96224,                0.97566,                0.75668,                0.88363,                0.42204,                 1.2778,             0.00076606,             0.00076606,             0.00076606
                    146,                0.69514,                 0.4722,                 1.0801,                0.96368,                0.95717,                0.97881,                0.75972,                 0.8706,                0.42581,                 1.2629,             0.00075867,             0.00075867,             0.00075867
                    147,                0.69341,                0.46549,                 1.0876,                0.94991,                0.96753,                0.97703,                0.75416,                0.88281,                0.42401,                 1.2729,             0.00075127,             0.00075127,             0.00075127
                    148,                0.68597,                0.46222,                 1.0783,                0.94398,                0.95724,                0.96892,                0.74516,                0.89518,                0.44404,                 1.2834,             0.00074386,             0.00074386,             0.00074386
                    149,                0.68614,                0.45388,                 1.0738,                0.95379,                 0.9563,                0.97733,                0.75498,                0.86977,                0.42114,                 1.2624,             0.00073646,             0.00073646,             0.00073646
                    150,                0.67776,                0.45935,                 1.0687,                0.94927,                0.96269,                0.97537,                0.76014,                0.86658,                0.41288,                 1.2667,             0.00072905,             0.00072905,             0.00072905
